iter	RMSE
0	21.90938011
1	21.55783486
2	21.23318564
3	20.96105969
4	20.73197961
5	20.52579951
6	20.34976992
7	20.19828555
8	20.0665578
9	19.95529755
10	19.85961343
11	19.77219842
12	19.70302566
13	19.63996443
14	19.58533915
15	19.53738449
16	19.49204001
17	19.45292336
18	19.41668125
19	19.38744713
20	19.36037257
21	19.33696251
22	19.31582259
23	19.29725249
24	19.28090234
25	19.26248405
26	19.24975291
27	19.23587927
28	19.22441315
29	19.21185663
30	19.20054781
31	19.19134239
32	19.18422372
33	19.17377529
34	19.16574823
35	19.1558574
36	19.14602216
37	19.13531138
38	19.12583614
39	19.11889404
40	19.11160793
41	19.10383442
42	19.09764103
43	19.08808289
44	19.08090898
45	19.07399525
46	19.06734997
47	19.06091314
48	19.05398757
49	19.04816017
50	19.03930261
51	19.03297247
52	19.0286042
53	19.02318102
54	19.01532148
55	19.00951512
56	19.00542447
57	18.99906931
58	18.99510096
59	18.98825909
60	18.98116606
61	18.97316997
62	18.96705509
63	18.96182061
64	18.95783738
65	18.95012555
66	18.94246493
67	18.93849757
68	18.93281215
69	18.92826523
70	18.9227424
71	18.91516976
72	18.90971274
73	18.90313653
74	18.8995195
75	18.89407524
76	18.88571186
77	18.88103884
78	18.87205775
79	18.86732491
80	18.86402728
81	18.85840992
82	18.85287223
83	18.84914265
84	18.84402502
85	18.83812005
86	18.83175524
87	18.82674443
88	18.82240334
89	18.81840371
90	18.81246174
91	18.80820739
92	18.80338253
93	18.79773547
94	18.79134114
95	18.78861142
96	18.78506878
97	18.78224308
98	18.77917787
99	18.77491585
100	18.77150072
101	18.76695036
102	18.76033306
103	18.75832673
104	18.75514162
105	18.74948686
106	18.74649468
107	18.7404935
108	18.73743567
109	18.7332562
110	18.72749437
111	18.72603518
112	18.72167604
113	18.71980876
114	18.71550593
115	18.70939113
116	18.70426194
117	18.7011613
118	18.69744573
119	18.69497945
120	18.68997266
121	18.68707781
122	18.68208189
123	18.67910704
124	18.67348735
125	18.66997122
126	18.66509724
127	18.66202978
128	18.6590073
129	18.6545577
130	18.65072177
131	18.64658516
132	18.64352314
133	18.63894159
134	18.63630283
135	18.63222568
136	18.6274587
137	18.62387617
138	18.62082165
139	18.61487732
140	18.61194898
141	18.60938495
142	18.60520363
143	18.60107084
144	18.59815983
145	18.59440287
146	18.58990351
147	18.58434461
148	18.58070156
149	18.57488637
150	18.57223035
151	18.56957262
152	18.56467769
153	18.56075599
154	18.55639049
155	18.55312043
156	18.55030352
157	18.54517217
158	18.54249937
159	18.53729187
160	18.53238417
161	18.52738925
162	18.5240522
163	18.52062834
164	18.51607973
165	18.51364022
166	18.50940929
167	18.50570623
168	18.50182787
169	18.49472064
170	18.49136278
171	18.48804392
172	18.48446793
173	18.47877098
174	18.47431613
175	18.47167371
176	18.46883351
177	18.46544633
178	18.46206462
179	18.45769591
180	18.45295746
181	18.44915633
182	18.44468169
183	18.44111463
184	18.43500384
185	18.43153989
186	18.42813203
187	18.42465887
188	18.42121857
189	18.41917297
190	18.41494234
191	18.40953428
192	18.40718446
193	18.40537418
194	18.40051087
195	18.39698098
196	18.39372277
197	18.38957755
198	18.38576997
199	18.3802881
200	18.37602637
201	18.37228657
202	18.36898786
203	18.36547962
204	18.36273808
205	18.35886968
206	18.35254864
207	18.3490048
208	18.34379573
209	18.33978134
210	18.33683143
211	18.33415752
212	18.32984356
213	18.32518032
214	18.31806264
215	18.31460591
216	18.31244124
217	18.30927131
218	18.30737996
219	18.30482528
220	18.30102821
221	18.29687646
222	18.29374115
223	18.28905158
224	18.28587824
225	18.28015261
