iter	Passed	Remaining
0	6	6400
1	10	5167
2	14	4794
3	18	4588
4	21	4338
5	25	4200
6	28	4046
7	31	3948
8	35	3894
9	38	3838
10	43	3910
11	46	3862
12	50	3829
13	53	3786
14	57	3761
15	60	3709
16	63	3679
17	67	3656
18	70	3640
19	74	3647
20	78	3638
21	81	3626
22	85	3638
23	89	3623
24	92	3608
25	96	3599
26	100	3607
27	104	3620
28	107	3608
29	111	3615
30	115	3625
31	119	3623
32	123	3622
33	127	3612
34	130	3597
35	133	3586
36	137	3582
37	141	3572
38	144	3570
39	148	3560
40	151	3549
41	156	3564
42	159	3554
43	163	3543
44	166	3535
45	170	3531
46	173	3518
47	177	3512
48	180	3512
49	184	3504
50	188	3504
51	191	3492
52	195	3492
53	198	3480
54	202	3484
55	206	3473
56	209	3461
57	212	3456
58	216	3447
59	220	3448
60	223	3440
61	226	3431
62	230	3420
63	233	3411
64	236	3407
65	240	3405
66	244	3398
67	247	3392
68	250	3386
69	254	3386
70	258	3381
71	261	3373
72	265	3366
73	269	3367
74	272	3359
75	275	3353
76	279	3352
77	283	3348
78	286	3342
79	290	3335
80	293	3331
81	297	3325
82	300	3322
83	304	3319
84	307	3312
85	311	3309
86	314	3304
87	319	3306
88	323	3307
89	327	3308
90	331	3311
91	337	3329
92	341	3330
93	345	3326
94	350	3340
95	354	3335
96	358	3339
97	364	3351
98	368	3353
99	372	3356
100	377	3356
101	382	3363
102	385	3360
103	390	3365
104	395	3372
105	399	3367
106	403	3366
107	409	3378
108	413	3378
109	417	3375
110	422	3380
111	425	3372
112	429	3373
113	433	3367
114	437	3367
115	441	3365
116	445	3364
117	449	3359
118	453	3359
119	457	3355
120	461	3352
121	464	3345
122	468	3339
123	472	3336
124	476	3332
125	479	3328
126	483	3320
127	486	3313
128	489	3305
129	493	3301
130	496	3296
131	501	3298
132	505	3297
133	511	3304
134	515	3301
135	518	3295
136	523	3295
137	527	3292
138	530	3288
139	534	3280
140	537	3275
141	541	3273
142	545	3269
143	549	3265
144	552	3259
145	556	3255
146	559	3249
147	563	3245
148	567	3238
149	571	3236
150	575	3238
151	580	3239
152	585	3240
153	589	3239
154	593	3236
155	597	3233
156	602	3235
157	606	3232
158	609	3224
159	613	3222
160	617	3217
161	621	3214
162	625	3212
163	629	3208
164	633	3205
165	638	3206
166	641	3200
167	645	3194
168	648	3188
169	652	3185
170	656	3180
171	659	3175
172	662	3169
173	666	3164
174	670	3159
175	673	3151
176	676	3145
177	679	3138
178	683	3132
179	686	3128
180	690	3124
181	693	3118
182	697	3113
183	701	3108
184	706	3111
185	710	3109
186	715	3108
187	719	3106
188	722	3099
189	727	3100
190	731	3098
191	736	3098
192	740	3095
193	744	3092
194	748	3088
195	752	3085
196	755	3081
197	760	3080
198	764	3076
199	768	3073
200	771	3067
201	775	3064
202	779	3059
203	783	3056
204	786	3050
205	790	3045
206	794	3043
207	798	3040
208	801	3034
209	805	3029
210	809	3025
211	813	3021
212	816	3017
213	820	3013
214	824	3010
215	828	3007
216	832	3004
217	836	3000
218	840	2998
219	843	2991
220	848	2989
221	851	2983
222	855	2981
223	859	2975
224	863	2972
225	866	2967
226	870	2963
227	873	2957
228	877	2953
229	880	2948
230	884	2943
231	887	2938
232	891	2934
233	895	2930
234	898	2924
235	901	2919
236	905	2914
237	908	2909
238	912	2905
239	915	2900
240	920	2897
241	923	2892
242	927	2889
243	930	2883
244	934	2879
245	938	2876
246	942	2872
247	945	2866
248	949	2862
249	953	2859
250	956	2853
251	959	2848
252	963	2843
253	966	2839
254	970	2835
255	974	2832
256	977	2826
257	980	2820
258	984	2816
259	988	2812
260	992	2808
261	995	2804
262	999	2801
263	1003	2797
264	1007	2795
265	1011	2791
266	1015	2788
267	1019	2784
268	1022	2779
269	1028	2780
270	1032	2778
271	1036	2773
272	1040	2769
273	1043	2764
274	1046	2759
275	1049	2754
276	1054	2751
277	1058	2748
278	1061	2743
279	1065	2740
280	1069	2735
281	1073	2732
282	1076	2727
283	1081	2726
284	1085	2722
285	1089	2721
286	1095	2720
287	1099	2719
288	1104	2716
289	1108	2714
290	1113	2711
291	1117	2709
292	1122	2708
293	1127	2706
294	1132	2705
295	1137	2705
296	1141	2700
297	1146	2700
298	1149	2694
299	1153	2691
300	1156	2686
301	1160	2682
302	1165	2681
303	1169	2678
304	1173	2674
305	1178	2671
306	1181	2667
307	1186	2664
308	1190	2661
309	1194	2659
310	1198	2655
311	1203	2653
312	1211	2658
313	1214	2652
314	1221	2656
315	1227	2657
316	1235	2661
317	1238	2656
318	1244	2657
319	1248	2652
320	1251	2648
321	1258	2650
322	1265	2652
323	1270	2650
324	1275	2648
325	1279	2645
326	1283	2641
327	1287	2636
328	1291	2633
329	1295	2630
330	1299	2627
331	1303	2622
332	1308	2620
333	1312	2616
334	1317	2615
335	1321	2611
336	1325	2608
337	1329	2604
338	1334	2601
339	1338	2597
340	1342	2594
341	1347	2591
342	1350	2587
343	1355	2585
344	1359	2581
345	1363	2577
346	1367	2573
347	1372	2570
348	1376	2566
349	1380	2563
350	1384	2559
351	1388	2556
352	1393	2554
353	1399	2553
354	1403	2549
355	1407	2546
356	1412	2544
357	1416	2541
358	1420	2537
359	1425	2533
360	1429	2529
361	1432	2525
362	1436	2520
363	1439	2515
364	1443	2511
365	1447	2507
366	1450	2501
367	1453	2496
368	1457	2491
369	1460	2486
370	1463	2481
371	1466	2476
372	1471	2472
373	1474	2467
374	1477	2462
375	1481	2458
376	1485	2454
377	1488	2449
378	1492	2444
379	1495	2440
380	1499	2435
381	1502	2430
382	1506	2426
383	1510	2422
384	1513	2417
385	1516	2412
386	1519	2407
387	1522	2402
388	1526	2397
389	1529	2391
390	1535	2391
391	1538	2386
392	1542	2382
393	1546	2378
394	1549	2373
395	1552	2368
396	1556	2363
397	1559	2358
398	1562	2354
399	1566	2349
400	1570	2345
401	1573	2341
402	1576	2335
403	1579	2330
404	1583	2326
405	1586	2321
406	1590	2316
407	1593	2311
408	1596	2306
409	1599	2302
410	1602	2296
411	1606	2292
412	1610	2288
413	1613	2284
414	1617	2279
415	1620	2275
416	1623	2270
417	1627	2265
418	1630	2260
419	1633	2256
420	1636	2251
421	1640	2246
422	1643	2241
423	1646	2236
424	1649	2231
425	1653	2227
426	1656	2222
427	1659	2218
428	1662	2213
429	1665	2208
430	1669	2204
431	1672	2199
432	1676	2194
433	1679	2190
434	1682	2185
435	1686	2181
436	1689	2177
437	1694	2173
438	1697	2169
439	1700	2164
440	1703	2159
441	1706	2154
442	1710	2150
443	1713	2145
444	1716	2141
445	1720	2137
446	1724	2133
447	1727	2128
448	1730	2124
449	1734	2119
450	1737	2115
451	1741	2110
452	1744	2106
453	1747	2101
454	1751	2097
455	1754	2093
456	1757	2088
457	1761	2084
458	1764	2079
459	1768	2075
460	1771	2071
461	1774	2066
462	1779	2063
463	1783	2059
464	1786	2055
465	1789	2050
466	1792	2046
467	1795	2041
468	1799	2037
469	1802	2032
470	1805	2027
471	1809	2023
472	1812	2019
473	1816	2016
474	1820	2011
475	1823	2006
476	1826	2002
477	1829	1998
478	1833	1993
479	1836	1989
480	1839	1984
481	1843	1981
482	1847	1977
483	1850	1972
484	1853	1967
485	1856	1963
486	1859	1959
487	1863	1954
488	1866	1950
489	1869	1945
490	1872	1941
491	1876	1937
492	1880	1933
493	1883	1929
494	1887	1925
495	1890	1921
496	1893	1916
497	1897	1912
498	1900	1908
499	1905	1905
500	1908	1901
501	1913	1897
502	1916	1893
503	1919	1889
504	1923	1885
505	1927	1882
506	1931	1877
507	1934	1873
508	1937	1869
509	1940	1864
510	1944	1860
511	1948	1857
512	1951	1853
513	1957	1850
514	1960	1846
515	1964	1843
